canonical_id,method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-C001,NFL-U001,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-5.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,365,195,0.5342465753424658,0.2641643835616438,96.42,20,18,2,1,0.0625402396511306,157,82,0.5222929936305732,0.2464331210191083,38.690000000000005,9,8,1,1,0.0963562858838107,100,51,0.51,0.1882,18.82,5,5,0,0,0.1184480775306508,108,62,0.5740740740740741,0.3602777777777778,38.91,6,5,1,1,0.1145881799849772,E0001,SPECIAL_TEAMS,THIRD_DOWN,SPECIAL_TEAMS+THIRD_DOWN,0.9,5.739366034696031,A
NFL-C002,NFL-U002,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,rank_edge_punt_return_average,>=,-5.0,DOG35_49,AWAY,132,83,0.6287878787878788,0.4851515151515151,64.03999999999999,19,16,3,1,0.1009589393526528,66,40,0.6060606060606061,0.4477272727272728,29.550000000000004,8,6,2,1,0.1464924471914097,35,24,0.6857142857142857,0.5640000000000001,19.74,5,5,0,0,0.1836914658383691,31,19,0.6129032258064516,0.4758064516129032,14.75,6,5,1,1,0.2168254707657892,P00053,QB_CONTEXT,SPECIAL_TEAMS,QB_CONTEXT+SPECIAL_TEAMS,0.8421052631578947,5.72735144298907,A
NFL-C003,NFL-U003,EXISTING_1859,LONG,PAIR,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,208,116,0.5576923076923077,0.3361538461538462,69.92000000000002,20,15,5,2,0.0835447600918145,101,53,0.5247524752475248,0.2666336633663366,26.930000000000003,9,6,3,2,0.1215678335865421,48,28,0.5833333333333334,0.4025,19.32,5,5,0,0,0.174819689276881,59,35,0.5932203389830508,0.401186440677966,23.669999999999995,6,4,2,2,0.1541906500415744,E0003,PASS_PROTECTION_RUSH,EXPLOSIVENESS,EXPLOSIVENESS+PASS_PROTECTION_RUSH,0.75,5.564071481345806,A
NFL-C004,NFL-U004,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,267,142,0.5318352059925093,0.2738576779026217,73.12,20,15,5,2,0.0740444014086372,125,63,0.504,0.20144,25.180000000000003,9,7,2,1,0.1079431573232097,74,40,0.5405405405405406,0.2855405405405405,21.130000000000003,5,4,1,1,0.1404824740139074,68,39,0.5735294117647058,0.3942647058823528,26.809999999999995,6,4,2,2,0.148536807985251,E0002,SPECIAL_TEAMS,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+SPECIAL_TEAMS,0.75,5.410835164673475,A
NFL-C005,NFL-U006,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,rank_edge_third_down_success,>=,0.0,DOG35_49,AWAY,201,118,0.5870646766169154,0.4020398009950249,80.81,19,16,3,2,0.0839979660500009,99,59,0.5959595959595959,0.4426262626262625,43.81999999999999,8,7,1,1,0.1210648645126734,54,32,0.5925925925925926,0.3877777777777779,20.940000000000005,5,5,0,0,0.160041850454941,48,27,0.5625,0.3343749999999999,16.049999999999997,6,4,2,2,0.1732802802358567,P00063,QB_CONTEXT,THIRD_DOWN,QB_CONTEXT+THIRD_DOWN,0.8421052631578947,5.269859375574386,A
NFL-C006,NFL-U007,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,recent_edge_kick_return_average,<=,-3.912500000000001,DOG35_49,AWAY,136,78,0.5735294117647058,0.3805882352941176,51.760000000000005,20,17,3,1,0.1035657708732872,58,31,0.5344827586206896,0.2901724137931035,16.830000000000002,9,8,1,1,0.1611020522116913,38,22,0.5789473684210527,0.4068421052631579,15.46,5,4,1,1,0.1995297121028069,40,25,0.625,0.48675,19.47,6,5,1,1,0.186390267264064,E0006,SPECIAL_TEAMS,SPECIAL_TEAMS,SPECIAL_TEAMS,0.85,5.2611121793742335,A
NFL-C007,NFL-U008,EXISTING_1859,LONG,PAIR,recent_edge_punt_return_average,>=,2.472222222222221,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,137,77,0.5620437956204379,0.3467883211678833,47.510000000000005,19,16,3,1,0.1030455058731968,61,31,0.5081967213114754,0.2231147540983606,13.61,9,7,2,1,0.1566332148306202,32,18,0.5625,0.375625,12.02,4,3,1,1,0.2202646582120201,44,28,0.6363636363636364,0.4972727272727272,21.88,6,6,0,0,0.1750307625140623,E0005,SPECIAL_TEAMS,EXPLOSIVENESS,EXPLOSIVENESS+SPECIAL_TEAMS,0.8421052631578947,5.115335914005037,A
NFL-C008,NFL-U012,EXISTING_1859,LONG,PAIR,recent_edge_third_down_success,>=,0.0,recent_edge_punt_return_average,>=,4.326388888888889,DOG35_49,AWAY,150,85,0.5666666666666667,0.3531999999999999,52.98,20,14,6,2,0.0980854451046995,71,39,0.5492957746478874,0.2985915492957747,21.200000000000003,9,6,3,2,0.1421544907005894,35,20,0.5714285714285714,0.3748571428571428,13.12,5,4,1,1,0.2065178981514744,44,26,0.5909090909090909,0.4240909090909091,18.66,6,4,2,2,0.1830390957966199,E0015,THIRD_DOWN,SPECIAL_TEAMS,SPECIAL_TEAMS+THIRD_DOWN,0.7,4.883590220618235,A
NFL-C009,NFL-U014,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,529,274,0.5179584120982986,0.2183175803402646,115.49,20,17,3,2,0.0516828768632726,234,123,0.5256410256410257,0.2429487179487179,56.85,9,8,1,1,0.078143660209808,150,78,0.52,0.2257333333333333,33.86,5,5,0,0,0.0976377520170404,145,73,0.503448275862069,0.1708965517241379,24.78,6,4,2,2,0.0977719175750211,P00310,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.783994505956656,A
NFL-C010,NFL-U016,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,rank_edge_def_allowed_yards_per_play,<=,-1.0,DOG35_49,AWAY,275,140,0.509090909090909,0.2227272727272727,61.25,20,17,3,1,0.0731955099359952,113,53,0.4690265486725664,0.1434513274336283,16.209999999999997,9,7,2,1,0.1157381473011389,68,34,0.5,0.1983823529411765,13.490000000000002,5,4,1,1,0.1481370426983344,94,53,0.5638297872340425,0.3356382978723404,31.55,6,6,0,0,0.1229891155613839,E0010,SPECIAL_TEAMS,EFFICIENCY,EFFICIENCY+SPECIAL_TEAMS,0.85,4.698697977924488,A
