coach_method,h_method,n,wins,losses,win_pct,roi,holdout_n,holdout_win_pct,holdout_roi
CO005,NFL-H017,22,19,3,0.8636363636363636,1.2009090909090907,12,0.8333333333333334,1.0775
CO017,NFL-H029,18,15,3,0.8333333333333334,1.035,9,0.7777777777777778,0.9177777777777778
CO017,NFL-H033,26,17,9,0.6538461538461539,0.6396153846153846,7,0.7142857142857143,0.8014285714285714
CO005,NFL-H002,17,13,4,0.7647058823529411,0.9694117647058824,7,0.7142857142857143,0.7771428571428572
CO005,NFL-H033,27,16,11,0.5925925925925926,0.48259259259259263,5,0.6,0.568
CO026,NFL-H008,7,7,0,1.0,1.55,4,1.0,1.535
CO017,NFL-H017,15,9,6,0.6,0.4953333333333333,4,1.0,1.5125
CO017,NFL-H002,10,7,3,0.7,0.777,4,1.0,1.5
CO005,NFL-H036,11,10,1,0.9090909090909091,1.3818181818181818,4,0.75,0.9025000000000001
CO005,NFL-H029,17,11,6,0.6470588235294118,0.5811764705882353,4,0.75,0.8725
CO017,NFL-H003,15,7,8,0.4666666666666667,0.18466666666666665,4,0.75,0.835
CO005,NFL-H028,7,6,1,0.8571428571428571,1.0657142857142858,3,1.0,1.3166666666666667
CO017,NFL-H008,9,5,4,0.5555555555555556,0.4755555555555555,2,1.0,1.575
CO005,NFL-H003,8,4,4,0.5,0.24125000000000002,2,1.0,1.33
CO017,NFL-H028,8,6,2,0.75,0.76625,2,1.0,1.32
CO017,NFL-H036,7,4,3,0.5714285714285714,0.44571428571428573,1,0.0,-1.0
CO005,NFL-H008,9,4,5,0.4444444444444444,0.12777777777777782,0,,
