track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
MODERN,DOG35_49,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -8.566666666666674], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -9.0]]",105,61,0.580952380952381,0.39704761904761904,34,0.23147058823529407,18,0.1888888888888889,22,0.8277272727272728,0.75,0.6175475341651813,True,0.6782893350833671
LONG,DOG35_49,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -10.333333333333332], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -8.0]]",95,56,0.5894736842105263,0.41873684210526324,39,0.35153846153846163,28,0.23571428571428563,28,0.6953571428571429,0.8,0.4017307692307693,True,0.6490320449260966
MODERN,DOG35_44,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -7.033333333333337], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -6.1000000000000085]]",98,51,0.5204081632653061,0.3081632653061224,33,0.09242424242424242,17,0.19000000000000003,17,0.7635294117647059,0.75,0.6223172905525847,True,0.6279723482023918
LONG,DOG35_49,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -10.333333333333332], [""rank_edge_def_allowed_pass_epa_per_dropback"", ""<="", -8.0]]",92,54,0.5869565217391305,0.4026086956521739,37,0.4864864864864864,29,0.0713793103448276,26,0.6526923076923077,0.75,0.3737594092766507,True,0.6213987559157728
MODERN,DOG35_49,ANY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -18.0], [""rank_edge_def_allowed_pass_epa_per_dropback"", ""<="", -11.0]]",88,50,0.5681818181818182,0.3523863636363636,38,0.2523684210526316,19,0.3352631578947369,18,0.5427777777777778,0.8421052631578947,0.24896198830409355,True,0.5874067425920911
LONG,DOG35_44,AWAY,BUY_LOW,"[[""recent_edge_penalty_yards"", ""<="", -2.0], [""rank_edge_off_epa_per_play"", "">="", 7.0]]",91,51,0.5604395604395604,0.3947252747252747,46,0.39347826086956533,27,0.3033333333333333,18,0.535,0.7368421052631579,0.18659420289855072,True,0.575168343578553
LONG,DOG35_44,AWAY,BUY_LOW,"[[""rank_edge_point_margin"", ""<="", 1.0], [""rank_edge_off_epa"", "">="", 7.0]]",92,54,0.5869565217391305,0.4769565217391304,39,0.5351282051282052,33,0.3972727272727273,20,0.4950000000000001,0.75,0.028799533799533816,True,0.5724041273559268
MODERN,DOG35_49,AWAY,BUY_LOW,"[[""recent_edge_penalty_yards"", ""<="", -8.566666666666674], [""rank_edge_success_rate"", "">="", 5.0]]",136,72,0.5294117647058824,0.2605882352941176,45,0.12755555555555553,15,0.2686666666666666,27,0.567037037037037,0.8,0.36892592592592593,True,0.5702170325644804
MODERN,DOG35_49,ANY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -18.0], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -7.0]]",131,66,0.5038167938931297,0.2101526717557252,50,0.1704,28,0.16785714285714284,26,0.6188461538461538,0.75,0.4497175824175824,True,0.5618141813418017
LONG,DOG35_49,AWAY,BUY_LOW_DEF,"[[""rank_edge_point_margin"", ""<="", -5.0], [""rank_edge_def_allowed_explosive_rate"", ""<="", -9.0]]",102,59,0.5784313725490197,0.43411764705882355,28,0.41857142857142865,35,0.3777142857142857,39,0.4958974358974359,0.7,0.09775457875457871,True,0.5612651949703411
MODERN,DOG35_49,ANY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -18.0], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -11.0]]",96,53,0.5520833333333334,0.3129166666666667,37,0.29864864864864865,21,0.21238095238095242,21,0.5295238095238095,0.75,0.274009009009009,True,0.5569986806995975
MODERN,DOG35_49,AWAY,BUY_LOW_DEF,"[[""rank_edge_point_margin"", ""<="", 1.0], [""rank_edge_def_allowed_explosive_rate"", ""<="", -9.5]]",167,88,0.5269461077844312,0.29065868263473055,46,0.06304347826086959,29,0.3241379310344828,50,0.43979999999999997,0.8,0.24620929535232378,True,0.5412311049945049
MODERN,DOG35_49,AWAY,BUY_LOW_DEF,"[[""recent_edge_penalty_yards"", ""<="", -8.566666666666674], [""recent_edge_def_allowed_off_epa_per_play"", ""<="", -0.12044835265368756]]",94,55,0.5851063829787234,0.4101063829787234,30,0.369,14,0.2607142857142857,23,0.348695652173913,0.9,0.03383850931677018,True,0.5366600863498674
MODERN,DOG35_44,AWAY,BUY_LOW,"[[""recent_edge_penalty_yards"", ""<="", -7.033333333333337], [""rank_edge_success_rate"", "">="", 4.0]]",109,57,0.5229357798165137,0.30000000000000004,31,0.22290322580645155,10,0.275,20,0.5025000000000001,0.7,0.2535483870967743,True,0.5359649028786826
LONG,DOG35_49,AWAY,BUY_LOW,"[[""rank_edge_giveaway_rate"", ""<="", 1.0], [""rank_edge_off_epa_per_play"", "">="", 8.0]]",85,47,0.5529411764705883,0.3150588235294117,31,0.3574193548387096,28,0.11178571428571425,26,0.4834615384615385,0.7,0.24885900389932655,True,0.5312374621228187
