track,price_band,venue,conditions,condition_count,full_n,full_wins,full_win_pct,full_roi,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,positive_seasons,active_seasons,worst_active_season_roi,recent_delta,era_floor,preferred,elite_recent,score,feature_signature
LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_min"", "">="", 0.46153846153846156], [""coachq_hc_prior_role_seasons"", ""<="", 0.0]]",2,93,34,0.3655913978494624,0.36913978494623656,28,0.32142857142857145,0.2542857142857143,37,0.3783783783783784,0.39162162162162156,28,0.39285714285714285,0.4542857142857143,0.8571428571428571,12,14,-0.73,0.13133204633204637,0.2542857142857143,True,True,0.4478573950942988,coachq_hc_prior_role_seasons|coachq_staff_quality_min
MODERN,FAV55_65,AWAY,"[[""coachonly_staff_prior_quality_spread"", "">="", 0.32451923076923084]]",1,119,85,0.7142857142857143,0.18633109911242718,30,0.7,0.1804424741601397,30,0.6666666666666666,0.10835464131428946,35,0.7428571428571429,0.22825043897565936,0.8333333333333334,15,18,-0.28864628646526136,0.08385188123844478,0.10835464131428946,True,True,0.3294917571691811,coachonly_staff_prior_quality_spread
LONG,DOG20_34,HOME,"[[""coachq_oc_prior_quality"", ""<="", 0.44765625]]",1,90,33,0.36666666666666664,0.367,35,0.37142857142857144,0.33171428571428574,33,0.36363636363636365,0.3460606060606061,22,0.36363636363636365,0.45454545454545453,0.7333333333333333,11,15,-1.0,0.11565800865800863,0.33171428571428574,True,False,0.4452755861195224,coachq_oc_prior_quality
LONG,DOG35_44,ANY,"[[""coachq_dc_recent_quality"", "">="", 0.34375], [""coachq_hc_prior_quality"", ""<="", 0.48391608391608393]]",2,158,80,0.5063291139240507,0.2689873417721519,71,0.4788732394366197,0.20352112676056336,51,0.49019607843137253,0.21313725490196084,36,0.5833333333333334,0.4772222222222222,0.7222222222222222,13,18,-0.415,0.2688930313909601,0.20352112676056336,True,False,0.41838542061628975,coachq_dc_recent_quality|coachq_hc_prior_quality
LONG,DOG35_44,ANY,"[[""coachq_dc_recent_quality"", "">="", 0.34375], [""coachq_hc_prior_win_pct"", ""<="", 0.48391608391608393]]",2,158,80,0.5063291139240507,0.2689873417721519,71,0.4788732394366197,0.20352112676056336,51,0.49019607843137253,0.21313725490196084,36,0.5833333333333334,0.4772222222222222,0.7222222222222222,13,18,-0.415,0.2688930313909601,0.20352112676056336,True,False,0.41838542061628975,coachq_dc_recent_quality|coachq_hc_prior_win_pct
LONG,DOG20_34,ANY,"[[""coachq_oc_prior_quality"", "">="", 0.65625], [""coachonly_upgrade_minus_downgrade"", ""<="", -1.0]]",2,81,32,0.3950617283950617,0.3512345679012346,30,0.3333333333333333,0.21500000000000002,19,0.47368421052631576,0.46315789473684216,32,0.40625,0.4125,0.8,12,15,-1.0,0.07342105263157889,0.21500000000000002,True,False,0.40941149699875556,coachonly_upgrade_minus_downgrade|coachq_oc_prior_quality
LONG,DOG35_44,ANY,"[[""coachonly_hc_oc_quality_mean"", "">="", 0.6653081293706293], [""coachq_dc_recent_quality"", "">="", 0.34375]]",2,99,55,0.5555555555555556,0.3740404040404041,36,0.5,0.22749999999999998,37,0.5945945945945946,0.4927027027027027,26,0.5769230769230769,0.40807692307692306,0.7222222222222222,13,18,-1.0,0.04797557172557171,0.22749999999999998,True,False,0.40870954233878937,coachonly_hc_oc_quality_mean|coachq_dc_recent_quality
LONG,DOG20_34,ANY,"[[""coachq_oc_recent_quality"", ""<="", 0.3125], [""coachq_dc_changed_quality"", "">="", 1.0]]",2,97,35,0.36082474226804123,0.29257731958762884,41,0.3170731707317073,0.1102439024390244,37,0.3783783783783784,0.3864864864864864,19,0.42105263157894735,0.5031578947368421,0.7142857142857143,10,14,-1.0,0.25479270027408674,0.1102439024390244,True,False,0.3944685054815007,coachq_dc_changed_quality|coachq_oc_recent_quality
LONG,DOG20_34,AWAY,"[[""adv_staff_quality_mean"", "">="", -0.15197649572649574], [""adv_staff_upgrade_count"", ""<="", -1.0]]",2,265,92,0.3471698113207547,0.28803773584905656,71,0.30985915492957744,0.17887323943661973,104,0.3557692307692308,0.3066346153846154,90,0.36666666666666664,0.3526666666666667,0.7222222222222222,13,18,-0.40153846153846157,0.10991273925604911,0.17887323943661973,True,False,0.3736303083913786,adv_staff_quality_mean|adv_staff_upgrade_count
MODERN,PK_55,AWAY,"[[""coachq_oc_prior_role_seasons"", "">="", 3.0], [""coachq_oc_quality_delta_vs_departed"", "">="", -0.09635416666666663]]",2,134,74,0.5522388059701493,0.12363036470667675,60,0.5666666666666667,0.13540550455691866,19,0.631578947368421,0.2744427105499599,29,0.6551724137931034,0.37113690211214434,0.7647058823529411,13,17,-0.5828310033773674,0.16621279455870508,0.13540550455691866,True,False,0.3524949361529108,coachq_oc_prior_role_seasons|coachq_oc_quality_delta_vs_departed
LONG,FAV65_75,AWAY,"[[""coachq_dc_recent_quality"", "">="", 0.84375]]",1,89,73,0.8202247191011236,0.178358472895728,30,0.8333333333333334,0.1985726237861864,31,0.8064516129032258,0.15360565657032238,28,0.8214285714285714,0.18410535787336454,0.8823529411764706,15,17,-0.23888737387510228,0.008016217695110156,0.15360565657032238,True,False,0.3303071599868423,coachq_dc_recent_quality
LONG,FAV55_65,ANY,"[[""adv_dc_quality_delta_vs_departed"", "">="", 0.012760416666666677], [""adv_dc_prior_quality"", "">="", 0.0625]]",2,85,63,0.7411764705882353,0.2295768094807718,33,0.7878787878787878,0.33034661456810827,31,0.6774193548387096,0.11674031744578214,21,0.7619047619047619,0.23779241353803737,0.8125,13,16,-1.0,0.014248947531092182,0.11674031744578214,True,False,0.3296173405434183,adv_dc_prior_quality|adv_dc_quality_delta_vs_departed
MODERN,DOG35_44,HOME,"[[""coachq_hc_prior_role_seasons"", ""<="", 1.0], [""coachq_prev_hc_prior_role_seasons"", ""<="", 0.0]]",2,126,58,0.4603174603174603,0.14555555555555555,38,0.4473684210526316,0.09736842105263159,20,0.5,0.25,26,0.5384615384615384,0.343076923076923,0.7222222222222222,13,18,-1.0,0.1693927125506072,0.09736842105263159,True,False,0.3292262721580546,coachq_hc_prior_role_seasons|coachq_prev_hc_prior_role_seasons
