track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score,signature
MODERN,PK_55,AWAY,COACH_TRANSITION,"[[""coachq_oc_quality_delta_vs_departed"", "">="", -0.04843750000000002], [""recent_edge_def_allowed_off_epa_per_play"", ""<="", 0.0331033173168197]]",92,55,0.5978260869565217,0.20985480448058966,36,0.09782564829824125,13,0.4023857903103187,19,0.5160663286710369,0.7222222222222222,0.2659606093667569,True,0.4777827471478655,coachq_oc_quality_delta_vs_departed|recent_edge_def_allowed_off_epa_per_play
MODERN,DOG20_34,AWAY,COACH_TRANSITION,"[[""adv_staff_quality_mean"", "">="", -0.03400997150997165], [""rank_edge_point_margin"", "">="", -4.0]]",126,48,0.38095238095238093,0.26722222222222225,53,0.4290566037735849,14,0.18214285714285713,25,0.51,0.7368421052631579,0.20440026954177898,True,0.4741990445072445,adv_staff_quality_mean|rank_edge_point_margin
LONG,DOG35_44,AWAY,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.0012466327867221988], [""rank_edge_sack_or_hit_rate"", "">="", 11.0]]",107,59,0.5514018691588785,0.37887850467289713,55,0.45290909090909093,26,0.2469230769230769,26,0.3542307692307692,0.7,0.004314685314685263,True,0.43599389618135037,base_vs_open_prob_move|rank_edge_sack_or_hit_rate
LONG,DOG35_44,AWAY,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.0012466327867221988], [""recent_edge_sack_or_hit_rate"", "">="", 0.00288736374754465]]",238,123,0.5168067226890757,0.2936134453781513,116,0.33284482758620687,64,0.21984374999999998,58,0.296551724137931,0.8,0.020207435344827607,True,0.4261015572537846,base_vs_open_prob_move|recent_edge_sack_or_hit_rate
LONG,DOG35_49,ANY,COACH_TRANSITION,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""recent_edge_sack_rate_allowed"", "">="", 0.025842498759532852]]",223,115,0.515695067264574,0.2172645739910314,115,0.10765217391304346,43,0.3925581395348837,65,0.2952307692307692,0.8,0.04512561250680558,True,0.4104250650309549,coachq_staff_downgrade_count|recent_edge_sack_rate_allowed
LONG,DOG35_44,HOME,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.005367326400536665], [""recent_edge_off_epa_per_play"", ""<="", -0.20080270924992735]]",90,45,0.5,0.2636666666666667,40,0.09025,26,0.4584615384615385,24,0.3416666666666666,0.7,0.06731089743589741,True,0.4065210252831797,base_vs_open_prob_move|recent_edge_off_epa_per_play
MODERN,FAV65_75,AWAY,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.03023218463362254], [""rank_edge_fg_accuracy"", ""<="", 10.5]]",242,190,0.7851239669421488,0.12930707336245037,72,0.14319232121642203,28,0.1621431401187896,52,0.17056870666920887,0.85,0.017900976001603064,True,0.38626522342796243,base_vs_open_prob_move|rank_edge_fg_accuracy
LONG,DOG35_49,ANY,COACH_TRANSITION,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -10.5]]",276,140,0.5072463768115942,0.2138768115942029,107,0.2218691588785047,65,0.20384615384615384,104,0.2119230769230769,0.8,-0.0009345794392523754,True,0.3805990045596029,coachq_staff_downgrade_count|rank_edge_def_allowed_off_epa_per_play
LONG,DOG35_49,ANY,COACH_TRANSITION,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.015625], [""recent_edge_punt_return_average"", "">="", 0.0277777777777776]]",277,137,0.49458483754512633,0.17537906137184114,59,0.21542372881355934,122,0.14991803278688529,96,0.183125,0.8333333333333334,0.0004541191997776972,True,0.36806659643794065,coachq_dc_quality_delta_vs_departed|recent_edge_punt_return_average
MODERN,FAV55_65,ANY,COACH_TRANSITION,"[[""adv_staff_quality_mean"", "">="", 0.010906107781107899], [""rank_edge_punt_return_average"", "">="", 10.0]]",154,104,0.6753246753246753,0.11251927684648583,52,0.1057506269606634,26,0.14171408408763214,44,0.16895223882848845,0.7368421052631579,0.04521988330434068,True,0.3482333582577324,adv_staff_quality_mean|rank_edge_punt_return_average
MODERN,DOG35_49,AWAY,MARKET,"[[""base_vs_open_prob_move"", ""<="", 0.0], [""rank_edge_def_allowed_success_rate"", ""<="", -1.0]]",332,157,0.47289156626506024,0.1482831325301205,93,0.15397849462365593,42,0.08642857142857141,95,0.11042105263157895,0.75,-0.00978248039453472,True,0.323883012957739,base_vs_open_prob_move|rank_edge_def_allowed_success_rate
